Filepath,Function Name,Reason its's not tested
~\Sim\src\game.js,simpleTick,External Library
~\Sim\src\game.js,update_tileView,Tested as part of update
~\Sim\src\game.js,update,Tested in Update Game State
~\Sim\src\finance.js,daily_transactions,N/A
~\Sim\src\finance.js,deduct_daily_expenses,N/A
~\Sim\src\finance.js,add_daily_revenue,N/A
~\Sim\src\finance.js,new_transaction,N/A
~\Sim\src\mainpage.js,renderTileView,N/A
~\Sim\src\mainpage.js,completedTasksEmail,N/A
~\Sim\src\mainpage.js,inquireAccurate,N/A
~\Sim\src\mainpage.js,inquireCultural,N/A
~\Sim\src\mainpage.js,showEmailResponsePositive,N/A
~\Sim\src\mainpage.js,showEmailResponseNegative,N/A
~\Sim\src\mainpage.js,showEmailResponseCritical,N/A
~\Sim\src\mainpage.js,showHomeSitePopup,N/A
~\Sim\src\mainpage.js,showSpecificSitePopup,N/A
~\Sim\src\mainpage.js,statusClass,N/A
~\Sim\src\problem.js,intervention(Alt) Fix the test,N/A
~\Sim\src\scenario.js,site_builder,N/A
~\Sim\src\scenario.js,module_builder,N/A
~\Sim\src\scenario.js,task_builder,N/A
~\Sim\src\state.js,load_globals,N/A
~\Sim\src\utils.js,months_to_str,N/A
~\Sim\src\utils.js,currently_doing_which_tasks,N/A
~\Sim\src\utils.js,progress_on_current_task,N/A
~\Sim\src\utils.js,total_of_current_task,N/A
